序號,基地名稱,行政區,門牌號碼
1,臺北創新實驗室Co-Space,內湖區,臺北市內湖區洲子街12號2、3樓
2,台北創新中心CIT,中山區,臺北市中山區玉門街1號
3,奧迪創速中心Audi,內湖區,臺北市內湖區新湖三路288號
4,台北自造實驗室Fablab Taipei,中山區,臺北市中山區玉門街1號
5,台北數位產業園區digiBlock Taipei,大同區,臺北市大同區承德路3段287號、287-1號、287-2號
6,特斯拉新創能基地Tesla,內湖區,臺北市內湖區民權東路六段11巷6號
7,永樂時尚基地T-Fashion,大同區,臺北市大同區迪化街一段21號4樓
8,宏匯瑞光廣場t.Hub,內湖區,臺北市內湖區瑞光路335號1-10樓
9,台北製造所POPOP Taipei,南港區,臺北市南港區南港路2段13號
10,台北方舟N24 ARK.TPE,內港區,臺北市南港區市民大道七段100號
11,明倫設計新創基地D.lab,大同區,臺北市大同區承德路三段285之2號
12,台北生技園區,南港區,臺北市南港區忠孝東路七段506號
13,賦能台北基地,中山區,臺北市中山區玉門街1號
